L1,ID1,L2,ID2
fireCompany,8X43X246,municipalCourt,3X8
fireCompany,8X40X247,municipalCourt,3X5
fireCompany,15X41X248,municipalCourt,3X4
fireCompany,15X41X248,municipalCourt,3X6
fireCompany,15X38X249,municipalCourt,3X4
fireCompany,15X38X249,municipalCourt,3X6
fireCompany,15X41X250,municipalCourt,3X5
fireCompany,15X41X250,municipalCourt,3X6
fireCompany,14X53X251,municipalCourt,4X4
fireCompany,14X53X251,municipalCourt,4X6
fireCompany,8X43X253,municipalCourt,3X5
fireCompany,8X43X253,municipalCourt,3X8
fireCompany,15X33X254,municipalCourt,3X8
fireCompany,15X41X255,municipalCourt,3X4
fireCompany,15X41X255,municipalCourt,3X6
fireCompany,15X58X257,municipalCourt,3X4
fireCompany,14X45X258,municipalCourt,4X1
fireCompany,14X45X259,municipalCourt,4X2
fireCompany,1X7X26,municipalCourt,1X3
fireCompany,1X7X26,municipalCourt,1X9
fireCompany,14X45X260,municipalCourt,1X6
fireCompany,14X45X260,municipalCourt,4X1
fireCompany,14X49X262,municipalCourt,4X1
fireCompany,14X49X263,municipalCourt,2X1
fireCompany,14X49X263,municipalCourt,4X1
fireCompany,14X49X263,municipalCourt,4X2
fireCompany,13X47X264,municipalCourt,4X5
fireCompany,13X47X265,municipalCourt,4X5
fireCompany,13X47X266,municipalCourt,4X5
fireCompany,13X47X268,municipalCourt,4X5
fireCompany,11X28X271,municipalCourt,3X7
fireCompany,14X52X273,municipalCourt,4X6
fireCompany,14X52X274,municipalCourt,4X6
fireCompany,13X50X275,municipalCourt,4X4
fireCompany,15X33X276,municipalCourt,3X8
fireCompany,15X37X277,municipalCourt,3X7
fireCompany,11X32X279,municipalCourt,3X1
fireCompany,1X4X28,municipalCourt,1X2
fireCompany,15X38X280,municipalCourt,3X2
fireCompany,15X38X280,municipalCourt,3X6
fireCompany,15X41X281,municipalCourt,3X6
fireCompany,11X48X282,municipalCourt,3X5
fireCompany,15X58X283,municipalCourt,3X4
fireCompany,8X42X284,municipalCourt,3X5
fireCompany,13X51X285,municipalCourt,4X3
fireCompany,13X51X286,municipalCourt,4X3
fireCompany,14X46X287,municipalCourt,4X2
fireCompany,14X46X287,municipalCourt,4X3
fireCompany,14X46X289,municipalCourt,4X2
fireCompany,15X39X290,municipalCourt,3X4
fireCompany,15X39X290,municipalCourt,3X7
fireCompany,14X45X291,municipalCourt,4X2
fireCompany,14X45X291,municipalCourt,4X3
fireCompany,14X46X292,municipalCourt,4X2
fireCompany,13X51X293,municipalCourt,4X3
fireCompany,13X51X293,municipalCourt,4X4
fireCompany,13X51X294,municipalCourt,4X3
fireCompany,13X51X294,municipalCourt,4X4
fireCompany,14X52X295,municipalCourt,4X6
fireCompany,14X52X297,municipalCourt,4X6
fireCompany,13X50X298,municipalCourt,4X4
fireCompany,14X52X299,municipalCourt,4X6
